Ticker,Continent,Currency,Exchange,Name,Type
PFBX,America,USD,NCM,Peoples Financial Corporation,Stock
SNAS,America,USD,PNK,"Sino Assurance, Inc.",Stock
PTIZF,America,USD,PNK,PT Indo Tambangraya Megah Tbk,Stock
AMCZF,America,USD,PNK,Amata Corporation Public Company Limited,Stock
PED.SW,Europe,CHF,EBS,PERROT DUVAL HLDG,Stock
NFC.HM,Europe,EUR,HAM,NETFLIX,Stock
SNAK,America,USD,NMS,"Inventure Foods, Inc.",Stock
JTPY,America,USD,NCM,JetPay Corporation,Stock
DLGC,America,USD,PNK,"Dialogic, Inc.",Stock
PWURF,America,USD,PNK,Powertech Uranium Corp.,Stock
CRDC,America,USD,NGM,Cardica Inc.,Stock
HWBK,America,USD,NMS,"Hawthorn Bancshares, Inc.",Stock
T,America,USD,NYQ,"AT&T;, Inc.",Stock
MTU.AX,Asia,AUD,ASX,M2 Group Ltd,Stock
JMLP,America,USD,NYQ,Nuveen All Cap Energy MLP Oppor,Stock
BB.TO,America,CAD,TOR,BlackBerry Limited,Stock
CRDS,America,USD,NCM,"Crossroads Systems, Inc.",Stock
IROQ,America,USD,NCM,"IF Bancorp, Inc.",Stock
JGPK,America,USD,PNK,"Jagged Peak, Inc.",Stock
T28.SI,Asia,SGD,SES,Teledata (Singapore) Limited,Stock
FFIN,America,USD,NMS,First Financial Bankshares Inc.,Stock
EVJ,America,USD,ASE,Eaton Vance New Jersey Municipa,Stock
AXY.TO,America,CAD,TOR,Alterra Power Corp.,Stock
EVN,America,USD,NYQ,Eaton Vance Municipal Income Tr,Stock
ABTL,America,USD,NCM,Autobytel Inc.,Stock
EVC,America,USD,NYQ,Entravision Communications Corporation,Stock
EVG,America,USD,NYQ,Eaton Vance Short Duration Diversified Income Fund,Stock
SFGP,America,USD,PNK,"Siuslaw Financial Group, Inc.",Stock
EVY,America,USD,ASE,Eaton Vance New York Municipal ,Stock
EVP,America,USD,ASE,Eaton Vance Pennsylvania Munici,Stock
EVV,America,USD,ASE,Eaton Vance Limited Duration Income Fund,Stock
JE3.BE,Europe,EUR,BER,YASHILI INTL,Stock
EVT,America,USD,NYQ,Eaton Vance Tax Advantaged Divi,Stock
NWHM,America,USD,NYQ,The New Home Company LLC,Stock
JEQ,America,USD,NYQ,"Aberdeen Japan Equity Fund, Inc",Stock
WMHI,America,USD,PNK,"World Mobile Holdings, Inc.",Stock
VNOM,America,USD,NMS,Viper Energy Partners LP,Stock
JEC,America,USD,NYQ,Jacobs Engineering Group Inc.,Stock
TREC,America,USD,NYQ,Trecora Resources,Stock
WOSYY,America,USD,PNK,Wolseley plc,Stock
GLRE,America,USD,NMS,"Greenlight Capital Re, Ltd.",Stock
SENEB,America,USD,NMS,Seneca Foods Corp.,Stock
SENEA,America,USD,NMS,Seneca Foods Corp.,Stock
1230.HK,Asia,HKD,HKG,Yashili International Holdings Limited,Stock
NRN.SG,Europe,EUR,STU,XCEL ENERGY ,Stock
HCACW,America,USD,NCM,Hennessy Capital Acquisition Co,Stock
HCACU,America,USD,NCM,Hennessy Capital Acquisition Co,Stock
YYFSL,America,USD,PNK,BOSTON CAP TX SER 47,Stock
VMSTF,America,USD,PNK,VMS Ventures Inc.,Stock
SU.PA,Europe,EUR,PAR,Schneider Electric S.A.,Stock
WGNB,America,USD,PNK,WGNB Corp.,Stock
PEY.TO,America,CAD,TOR,Peyto Exploration & Development Corp,Stock
QNBC,America,USD,PNK,QNB Corp.,Stock
SPHS,America,USD,NGM,"Sophiris Bio, Inc.",Stock
FLST,America,USD,PNK,"FuelStream, Inc.",Stock
